"ID","Region","Regulated Dam","Primary Purpose","Primary Type","Years Modified","Spillway","Hazard","Assessment","Height (m)","Length (km)","Volume (m3)","Year Completed","Surface (km2)","Drainage (km2)","Last Inspection Date","Inspection Frequency","Distance to Nearest City (km)","Assessment Date","Probability of Failure","Loss given failure - prop (Qm)","Loss given failure - liab (Qm)","Loss given failure - BI (Qm)"
"SOAD00455","Navaldia","No","Recreation","Earth","2000O","Uncontrolled","Significant","Not Rated",4.21,0.167,29133,1927,0.07683,18.64303,2009-09-29,5,11.36,2014-09-29,0.1388,43.8,357.5,9
"SOAD01040","Lyndrassia","No","Fire Protection, Stock, Or Small Fish Pond","Earth","1968S","Uncontrolled","Low","Not Rated",10.797,0.167,8920,2001,0.00788,231.70623,2001-09-01,0,39.77,2014-06-18,0.0975,27.9,14.6,7.1
"SOAD01261","Lyndrassia","No","Flood Risk Reduction","Earth","2013","Uncontrolled","Low","Not Rated",8.864,0.14,14267,1999,0.05516,1320.99184,1999-03-26,5,23.33,2014-06-18,0.0405,26.1,21.3,9.2
"SOAD01740","Navaldia","No","Irrigation","Earth","2003O","Uncontrolled","Low","Not Rated",5.472,0.4,42000,1986,0.04728,0,2009-07-01,0,114.06,2014-06-18,0.0862,9.3,23.8,6.3
"SOAD01985","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","2012","Uncontrolled","Low","Not Rated",5.666,0.125,8556,1954,0.12805,26.6329,1998-08-28,0,69.62,2014-06-18,0.0818,17.3,196.3,8.6
"SOAD02077","Lyndrassia","Yes","Other","Other","1997","Uncontrolled","Significant","Satisfactory",16.914,0.553,340000,1978,0.17139,5.32658,2021-12-16,5,4.92,2007-12-21,0.092,40.1,621.3,4.7
"SOAD02798","Lyndrassia","No","Fish and Wildlife Pond","Earth","2003H","Uncontrolled","Low","Not Rated",9.266,0.167,5056,1974,0.0591,2042.74343,1979-08-23,0,66.53,2014-06-18,0.0702,21.1,6.3,7.3
"SOAD02966","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","2001","Uncontrolled","Low","Not Rated",7.24,0.083,0,1960,0.03546,543.31116,1981-03-27,0,35.08,2014-06-18,0.0683,19.6,186.4,5.1
"SOAD03033","Navaldia","No","Recreation","Earth","2007O","Uncontrolled","Low","Not Rated",5.71,0.267,44517,1950,0.06107,0,1988-07-21,0,43.19,2014-06-18,0.106,46.2,18.3,9.1
"SOAD03308","Flumevale","Yes","Other","Earth","2007","Uncontrolled","Low","Not Rated",3.366,0.25,13942,1973,0.04334,0,1995-06-13,0,73.85,2014-06-18,0.0996,13.5,19.6,6.4
"SOAD03415","Lyndrassia","Yes","Irrigation","Earth","2012","Uncontrolled","Low","Fair",6.766,0.15,0,1960,0,2.66329,1973-04-19,0,29.9,2014-06-18,0.1039,14.8,142.9,27.6
"SOAD03567","Navaldia","No","Fire Protection, Stock, Or Small Fish Pond","Earth","1985O","Uncontrolled","Low","Not Rated",3.83,0.135,8000,1960,0.04728,0,1972-01-22,0,46,2014-06-18,0.1341,17.1,17.2,29.9
"SOAD03993","Lyndrassia","No","Flood Risk Reduction","Earth","1937","Controlled","Low","Not Rated",8.633,0.285,0,1965,0.03349,141.15437,1981-02-25,0,3.3,2014-06-18,0.0761,38.8,349.3,4.2
"SOAD04213","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","2012","Uncontrolled","Low","Not Rated",5.98,0.1,0,1935,0.04728,0,2009-04-13,6,33.97,2014-06-18,0.1176,15.8,192.8,24.2
"SOAD04255","Flumevale","Yes","Water Supply","Earth","1977","Uncontrolled","Low","Not Rated",4.129,0.267,4194,1969,0.08077,0,2010-07-02,6,0,2014-06-18,0.0726,32,301.8,50.1
"SOAD04329","Flumevale","No","Fire Protection, Stock, Or Small Fish Pond","Earth","1930","Uncontrolled","Low","Poor",7.529,0.093,2222,1960,0.02758,23.96961,2023-05-09,4,16.28,2023-05-09,0.0734,39,356.4,18.5
"SOAD04389","Navaldia","Yes","Other","Earth","2017","Uncontrolled","Low","Not Rated",4.394,0.817,53000,1966,0,0,2013-10-15,5,31.36,2014-06-18,0.0586,21.8,10.4,7.7
"SOAD04452","Navaldia","Yes","Flood Risk Reduction","Earth","2003S;2007S","Uncontrolled","Low","Fair",5.267,0.067,0,1999,0.14381,31.95948,2018-07-02,5,8.09,2014-06-18,0.0591,22.2,4.9,8
"SOAD04895","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","2012","Uncontrolled","Low","Not Rated",6.825,0.067,0,1930,0,13.31645,1983-02-01,0,10.89,2014-06-18,0.105,14.9,337.1,19.3
"SOAD04983","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","2001","Uncontrolled","Low","Not Rated",8.698,0.092,0,1967,0.07092,2.66329,2021-09-20,3,40.42,2022-07-27,0.1227,7.8,69.3,5.5
"SOAD05225","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","2012","Uncontrolled","Low","Not Rated",7.013,0.058,0,1960,0.14775,5.32658,2008-05-29,0,22.38,2014-06-18,0.1258,18,347,5.4
"SOAD05533","Lyndrassia","Yes","Irrigation","Earth","2005","Uncontrolled","Low","Not Rated",7.307,0.223,0,1962,0,50.60251,2009-04-17,2,0,2014-06-18,0.1096,19.9,890.1,5.1
"SOAD05596","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","2004","Uncontrolled","Low","Not Rated",7.069,0.1,18700,1955,0.07683,2.66329,2020-05-15,5,78.87,2017-10-19,0.0801,10.8,232.6,4.7
"SOAD05853","Lyndrassia","No","Flood Risk Reduction","Earth","1937","Controlled","Low","Not Rated",10.945,0.1,0,1974,0.02561,679.13895,1981-06-01,0,13.05,2014-06-18,0.0721,41.6,185.4,45.2
"SOAD05956","Lyndrassia","No","Flood Risk Reduction","Earth","2017O","Uncontrolled","Low","Not Rated",6.23,0.177,10220,1989,0.03349,953.45782,1991-09-06,0,6.16,2014-06-18,0.1038,43.7,20.2,12.6
"SOAD06770","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","2005","Uncontrolled","Low","Not Rated",10.585,0.1,0,1964,0.17336,45.27593,1979-05-15,0,0,2014-06-18,0.1162,10.1,398.9,59.4
"SOAD06825","Lyndrassia","No","Grade Stabilization","Earth","2008","Uncontrolled","Low","Not Rated",9.22,0.177,12679,1965,0.19503,3523.53267,2008-10-28,0,44.33,2014-06-18,0.0633,47,22,57.2
"SOAD06970","Navaldia","Yes","Water Supply","Earth","2011S","Uncontrolled","High","Poor",5.218,0.167,28000,1919,0.04137,13.31645,2020-09-24,1,1.59,2017-09-01,0.1339,10.8,852.6,37.4
"SOAD07026","Lyndrassia","No","Fish and Wildlife Pond","Gravity","1985","Uncontrolled","Low","Not Rated",9.012,0.125,16027,1984,0.06501,2.66329,2017-09-01,5,141.25,2019-07-25,0.0547,13.4,61.8,4.1
"SOAD07153","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","1995S;1999S","Uncontrolled","Low","Not Rated",4.864,0.083,8692.81,1973,0.21079,0,2016-12-08,5,77.28,2022-12-01,0.0866,8.3,125.4,6.4
"SOAD07526","Navaldia","No","Irrigation","Earth","2008O","Uncontrolled","Low","Not Rated",6.361,0.133,21400,1983,0,0,1985-03-29,1,0,2014-06-18,0.0817,43.1,11.2,42.9
"SOAD08274","Lyndrassia","No","Recreation","Earth","2008O","Uncontrolled","High","Not Rated",10.731,0.128,0,1975,0.02561,684.46553,1980-11-18,0,0,2014-06-18,0.1009,32.9,769.5,5.9
"SOAD08324","Navaldia","Yes","Irrigation","Concrete","2014H","Uncontrolled","Significant","Not Rated",6.088,0.063,41431,1992,0.0591,82.56199,2018-06-12,5,30.94,2023-06-12,0.1144,11.3,209.8,4.2
"SOAD08332","Flumevale","Yes","Irrigation","Earth","1972;2012","Uncontrolled","Low","Not Rated",3.597,0.182,5572,1910,0.02561,0,1979-06-27,6,13.47,2021-09-09,0.0705,23.7,356.6,10.3
"SOAD09093","Lyndrassia","No","Fish and Wildlife Pond","Earth","1999","Uncontrolled","Low","Not Rated",8.972,0.209,9059,2009,0.00788,695.11869,2009-01-15,0,44.6,2014-06-18,0.0758,31.2,16.3,9.4
"SOAD09152","Lyndrassia","Yes","Irrigation","Earth","2012","Uncontrolled","Significant","Satisfactory",5.112,0.1,0,1951,0.13593,34.62277,1989-08-15,0,23.36,2014-06-18,0.1752,61.7,467.7,21
"SOAD09390","Lyndrassia","Yes","Irrigation","Earth","2012","Uncontrolled","Low","Fair",3.52,0.44,14982,1930,0.14775,0,2004-06-20,5,55.53,2014-06-18,0.0833,21.6,226.6,12.1
"SOAD09560","Flumevale","Yes","Irrigation","Earth","1993","Uncontrolled","Low","Fair",8.707,0.067,0,1914,0.07486,0,2016-06-03,6,71.57,2016-02-08,0.0635,20.1,12.9,19.3
"SOAD10015","Navaldia","No","Water Supply","Earth","2003O","Uncontrolled","Low","Not Rated",7.482,0.18,23694,1970,0.21276,0,1985-09-26,0,73.47,2014-06-18,0.0696,26.5,18.6,27
"SOAD10026","Lyndrassia","Yes","Recreation","Earth","1995","Uncontrolled","Low","Satisfactory",14.263,0.117,48000,1974,0.01773,0,2019-10-17,5,0,2007-12-21,0.0434,46.3,807.5,5
"SOAD10063","Flumevale","Yes","Irrigation","Earth","1948","Uncontrolled","Low","Not Rated",10.784,0.118,7389,1954,0.03349,0,1992-06-29,0,15.12,2018-12-11,0.125,22.7,438.4,5.2
"SOAD10161","Navaldia","No","Irrigation","Gravity","1975O","Uncontrolled","Low","Not Rated",3.404,0.067,0,1919,0.08471,0,2022-05-10,0.5,25.65,2014-06-18,0.0777,47,6.1,42.2
"SOAD10430","Flumevale","Yes","Water Supply","Earth","2013","Uncontrolled","Low","Fair",11.532,0.208,0,1968,0.03546,0,1978-07-18,0,72.26,2009-10-27,0.0847,33.4,105.3,51
"SOAD10530","Lyndrassia","No","Recreation","Earth","2008O","Uncontrolled","High","Not Rated",11.096,0.067,0,1972,0.02561,191.75688,1979-05-16,0,3.31,2014-06-18,0.1157,32,370.3,7
"SOAD10638","Navaldia","No","Recreation","Earth","1983S","Uncontrolled","Significant","Not Rated",5.107,0.614,0,1974,0.06698,0,2011-02-15,5,0,2016-02-15,0.1548,11.9,220.7,6.9
"SOAD10814","Lyndrassia","Yes","Irrigation","Earth","2004","Uncontrolled","Low","Fair",5.143,0.083,0,1972,0,15.97974,1970-09-16,0,21.93,2014-06-18,0.1145,21.6,160,19.5
"SOAD10980","Lyndrassia","No","Flood Risk Reduction","Earth","2013","Uncontrolled","Low","Not Rated",10.215,0.137,12729,1999,0.02561,1185.16405,2000-11-01,1,53.23,2014-06-18,0.1202,23.1,14.2,7.8
"SOAD11006","Lyndrassia","Yes","Irrigation","Earth","2004","Uncontrolled","Low","Fair",12.276,0.05,0,1960,0,585.9238,1995-08-25,0,6.42,2014-06-18,0.0974,11.7,348.5,39.4
"SOAD11661","Navaldia","No","Irrigation","Earth","2003O","Uncontrolled","Low","Not Rated",4.34,0,3000,1927,0.0394,0,1973-08-19,0,34.3,2014-06-18,0.1101,5.3,14.3,44.4
"SOAD11823","Lyndrassia","Yes","Irrigation","Earth","2012","Uncontrolled","Low","Fair",6.777,0.067,6475,1948,0.03349,58.59238,2022-07-28,5,0,2021-04-01,0.0691,15.4,667,1.2
"SOAD11891","Lyndrassia","No","Flood Risk Reduction","Earth","2013","Uncontrolled","Low","Not Rated",10.491,0.167,20075,2006,0.02167,814.96674,2006-10-31,0,0,2014-06-18,0.0911,27.4,6,10.1
"SOAD11942","Lyndrassia","Yes","Irrigation","Earth","1950","Uncontrolled","Low","Not Rated",10.018,0.067,2891,1954,0.13002,5.32658,2016-06-09,6,17.97,2017-09-01,0.0993,18.5,429.7,4.7
"SOAD12121","Lyndrassia","No","Recreation","Earth","2004O","Uncontrolled","Low","Not Rated",8.072,0.2,0,1989,0.03349,181.10372,2002-06-18,0,0,2014-06-18,0.109,43,901.7,7.4
"SOAD12232","Lyndrassia","No","Recreation","Earth","2008O","Uncontrolled","Low","Not Rated",8.52,0.108,0,1956,0.06501,2085.35607,1980-06-18,0,0,2014-06-18,0.0832,8.2,625.9,4.4
"SOAD12248","Navaldia","Yes","Recreation","Earth","2009H;2009S","Uncontrolled","Low","Not Rated",11.037,0.313,0,1983,0,0,1987-09-09,0,89.93,2014-06-18,0.0575,36.2,21.6,9
"SOAD12322","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","2005","Uncontrolled","Low","Not Rated",5.105,0.133,3063,1935,0.14184,0,2004-05-21,0,39.31,2014-06-18,0.0949,8.3,72.8,28
"SOAD12500","Navaldia","Yes","Flood Risk Reduction","Earth","2006O","Uncontrolled","Low","Not Rated",6.077,0.12,5469,1976,0.04334,0,2009-04-13,5,125.71,2014-06-18,0.0911,41.6,20,46.1
"SOAD12626","Navaldia","Yes","Recreation","Earth","2009H","Uncontrolled","Low","Fair",2.686,0.02,3000,1919,0.12017,7.98987,2018-06-07,5,36.56,2016-08-23,0.0533,39.9,7,7.3
"SOAD12808","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","2005","Uncontrolled","Low","Not Rated",5.498,0.033,0,1960,0,0,1991-03-29,0,30.36,2014-06-18,0.0959,15.1,125.5,41
"SOAD12992","Lyndrassia","No","Recreation","Earth","2007O","Uncontrolled","Low","Not Rated",11.968,0.093,0,1991,0.02561,186.4303,1994-06-29,0,0,2014-06-18,0.1137,35.3,373.4,5.3
"SOAD13185","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","2012","Uncontrolled","Low","Not Rated",4.02,0.033,6250,1970,0,2.66329,2020-10-15,3,66.18,2019-08-08,0.0726,10.8,159.4,47.2
"SOAD13609","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","1995S;1999S","Uncontrolled","Low","Not Rated",6.358,0.075,1621,1960,0.10441,7.98987,1980-07-23,0,37.89,2014-06-18,0.0732,13.8,105.2,26.8
"SOAD14189","Flumevale","Yes","Water Supply","Earth","2020","Uncontrolled","Low","Satisfactory",17.561,0.303,50000,1980,0.02561,0,2022-04-05,0.5,40.29,2017-09-01,0.0765,40,16.9,32.5
"SOAD14445","Lyndrassia","No","Flood Risk Reduction","Earth","2008","Uncontrolled","Low","Not Rated",7.249,0.182,16610,1988,0.01576,692.4554,1981-01-30,0,43.14,2014-06-18,0.0816,24.5,11.8,8.1
"SOAD14573","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","2005","Uncontrolled","Low","Not Rated",7.157,0.017,0,1956,0.32702,0,2022-06-28,2,9.35,2022-05-03,0.1216,11.6,423.9,22.5
"SOAD15219","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","2012","Uncontrolled","Low","Not Rated",6.724,0.167,19067,1960,0.08274,0,2023-07-12,6,42.85,2020-10-19,0.0793,14.2,168.6,4.2
"SOAD15280","Navaldia","No","Recreation","Earth","1989S","Uncontrolled","Low","Not Rated",5.715,0.203,5996,1964,0.03349,0,1984-07-06,0,82.01,2014-06-18,0.0694,40.3,8.9,7.5
"SOAD15348","Lyndrassia","No","Fish and Wildlife Pond","Earth","2017O","Uncontrolled","Low","Not Rated",8.79,0.152,25000,1970,0.10638,2072.03962,1980-11-13,0,38.26,2014-06-18,0.1052,19.2,11.2,9.2
"SOAD15384","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","1995S;1999S","Uncontrolled","Low","Not Rated",7.162,0.067,0,1940,0.197,42.61264,1984-11-27,0,44.75,2014-09-25,0.0873,8.1,209.4,38.9
"SOAD15845","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","2012","Uncontrolled","Low","Not Rated",6.722,0.133,0,1965,0.02955,5.32658,2021-03-12,1,0,2020-09-17,0.1255,18.4,427.2,70.1
"SOAD16121","Navaldia","No","Recreation","Earth","2008O","Uncontrolled","Low","Not Rated",3.968,0.667,20834,1952,0.03743,0,2017-06-29,0,10.07,2018-06-20,0.1047,40.2,15,44.4
"SOAD16215","Lyndrassia","No","Recreation","Earth","2004O","Uncontrolled","Low","Not Rated",11.143,0.108,0,1967,0.02364,231.70623,1981-01-21,0,1.61,2014-06-18,0.0691,9.1,652.6,3.8
"SOAD16321","Lyndrassia","No","Debris Control","Earth","2013","Uncontrolled","Low","Not Rated",13.465,0.133,25948,1972,0.01576,1150.54128,1991-09-06,0,41.5,2014-06-18,0.0998,15.1,11.4,8.9
"SOAD16851","Lyndrassia","Yes","Water Supply","Earth","1990","Uncontrolled","Low","Satisfactory",2.543,0.02,45000,1960,0.03349,2.66329,2022-05-03,1,4.65,2017-09-01,0.0848,7.5,347.8,63.8
"SOAD16998","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","2005","Uncontrolled","Low","Not Rated",8.493,0.058,40000,1950,0.05319,10.65316,2018-03-08,2,0,2022-04-04,0.1256,11.4,503.4,8.5
"SOAD17190","Lyndrassia","No","Grade Stabilization","Earth","2013","Uncontrolled","Low","Not Rated",10.928,0.133,14131,1962,0.05319,1653.90309,1981-03-27,0,0,2014-06-18,0.078,24.1,8.9,5.9
"SOAD18009","Navaldia","No","Fire Protection, Stock, Or Small Fish Pond","Earth","1985O","Uncontrolled","Low","Not Rated",4.584,0.033,10601,1984,0.0985,0,1984-08-21,0,151.33,2014-06-18,0.073,36.9,10.2,38.8
"SOAD18148","Lyndrassia","No","Fish and Wildlife Pond","Earth","1999","Uncontrolled","Low","Not Rated",8.787,0.15,6000,1968,0.03349,1134.56154,2020-12-16,0,50.62,2023-09-29,0.0861,32.7,6,5.2
"SOAD18338","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","2004","Uncontrolled","Low","Not Rated",6.588,0.058,0,1957,0.24034,9713.01863,1979-06-21,0,34.92,2014-06-18,0.0713,16.6,105.7,7
"SOAD18784","Flumevale","Yes","Recreation","Earth","1952S;1968S;1999S","Uncontrolled","Low","Satisfactory",9.022,0.067,8955,1967,0.04137,15.97974,2021-09-21,6,30.23,2019-08-08,0.0582,19.9,108.9,2.9
"SOAD18961","Navaldia","Yes","Water Supply","Earth","2005S","Uncontrolled","Significant","Not Rated",7.245,0.283,0,1993,0.02955,2.66329,2019-08-30,2,0,2020-04-29,0.1685,40.9,459.7,70.1
"SOAD19181","Flumevale","Yes","Hydroelectric","Concrete","2009","Controlled","Low","Satisfactory",6.196,0.2,2639.4,1922,0.00788,4551.56261,2022-09-20,3,1.56,2023-09-29,0.0592,25,601.7,75.5
"SOAD19207","Flumevale","Yes","Water Supply","Earth","1990","Uncontrolled","Low","Satisfactory",14.054,0.18,35000,1990,0.03349,0,2022-04-05,0.5,26.34,2017-09-01,0.0698,46.8,19.8,54.3
"SOAD19263","Navaldia","Yes","Flood Risk Reduction","Earth","2005O","Uncontrolled","High","Not Rated",8.406,0.213,60000,1988,0.02758,0,2016-11-30,5,10.07,2021-11-30,0.101,32,112.7,45.5
"SOAD19845","Lyndrassia","No","Flood Risk Reduction","Earth","2005","Uncontrolled","Low","Not Rated",9.379,0.253,23650,2004,0.01182,95.87844,2004-11-01,1,42.24,2014-06-18,0.0552,10.2,6.8,48
"SOAD19919","Lyndrassia","No","Flood Risk Reduction","Earth","2005","Uncontrolled","Low","Not Rated",10.2,0.15,11359,2001,0.03546,884.21228,2001-09-25,0,0,2014-06-18,0.0594,33.8,20.3,5.3
"SOAD00117","Lyndrassia","No","Irrigation","Earth","2005","Uncontrolled","Significant","Not Rated",6.946,0.667,0,1988,0.0394,1123.90838,1990-11-20,0,39.84,2014-06-18,0.1853,18.7,166.7,2.8
"SOAD00150","Lyndrassia","No","Recreation","Earth","1999","Uncontrolled","Low","Not Rated",7.259,0.244,0,1968,0.04137,2008.12066,1981-03-23,0,16.62,2014-06-18,0.0834,34.2,168.3,5.7
"SOAD00619","Lyndrassia","No","Grade Stabilization","Earth","1999","Uncontrolled","Low","Not Rated",8.166,0.118,12920,1977,0.03349,1515.41201,1990-01-18,0,0,2014-06-18,0.085,7.8,12.5,7
"SOAD00638","Navaldia","Yes","Flood Risk Reduction","Earth","2006O","Uncontrolled","Low","Not Rated",7.119,0.238,12618,1975,0.00788,2.66329,2009-05-04,5,16.33,2014-06-18,0.0943,12.3,300.9,3.9
"SOAD00780","Navaldia","No","Irrigation","Earth","2003O","Uncontrolled","Low","Not Rated",4.252,0.147,0,1960,0.02561,0,1987-10-28,0,10.99,2014-06-18,0.1034,41.5,417.3,30.4
"SOAD00946","Lyndrassia","No","Fish and Wildlife Pond","Earth","1967O","Uncontrolled","Low","Not Rated",7.683,0.033,0,1990,0.04925,721.75159,1980-10-28,0,0,2014-06-18,0.0792,14.5,147.3,8.3
"SOAD01645","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","2001","Uncontrolled","Low","Not Rated",8.604,0.167,0,1950,0,0,1980-01-01,0,73.98,2014-06-18,0.1081,20.7,161.5,8.4
"SOAD01772","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","2005","Uncontrolled","Low","Not Rated",5.699,0.04,0,1936,0.11229,1360.94119,1980-10-08,0,23.17,2014-11-17,0.1107,10.1,369,33.9
"SOAD02055","Flumevale","No","Fire Protection, Stock, Or Small Fish Pond","Earth","2007","Uncontrolled","High","Poor",6.946,0.2,1111,1964,0.0591,0,2023-05-09,4,8.21,2023-05-09,0.0942,32.4,468.5,10.9
"SOAD02241","Navaldia","No","Debris Control","Earth","2007S","Uncontrolled","Low","Fair",9.169,0.175,10111,1995,0.02364,10.65316,2020-09-14,4,6.68,2020-09-14,0.0536,34.6,403.4,3.9
"SOAD02401","Flumevale","Yes","Irrigation","Earth","1960","Uncontrolled","Low","Not Rated",4.606,0.163,10532,1900,0.03546,0,2020-10-15,6,9.57,2023-01-30,0.055,26.8,200.8,4.2
"SOAD02801","Lyndrassia","No","Flood Risk Reduction","Earth","2013","Uncontrolled","Low","Not Rated",10.062,0.133,20417,1993,0.04728,2167.91806,1981-01-21,0,33.79,2014-06-18,0.0828,17.9,18.3,46.6
"SOAD02938","Navaldia","No","Fire Protection, Stock, Or Small Fish Pond","Earth","1985O","Uncontrolled","Low","Not Rated",12.868,0.131,13560,1972,0,0,1970-04-23,0,26.71,2014-06-18,0.1027,13.9,19.3,52.1
"SOAD03668","Navaldia","Yes","Recreation","Earth","2007S","Uncontrolled","Low","Fair",5.433,0.117,3000,1919,0.07683,15.97974,2018-06-18,5,35.57,2019-12-02,0.0612,6.2,18.7,5.8
"SOAD03827","Navaldia","No","Recreation","Earth","1989S","Uncontrolled","Low","Not Rated",9.221,0.157,6256,1971,0,0,1989-05-26,0,20.4,2014-06-18,0.1006,17.8,20.4,4.9
"SOAD03888","Navaldia","Yes","Recreation","Earth","2006S","Uncontrolled","High","Poor",5.315,0.1,0,1900,0.07486,13.31645,2019-12-19,1,0,2022-03-23,0.1285,32.8,908.1,6.2
"SOAD04180","Flumevale","Yes","Water Supply","Earth","2002H;2002S","Uncontrolled","Low","Satisfactory",17.902,0.163,36700,1973,0.02561,0,2022-05-03,0.5,50.62,2017-09-01,0.0761,45.1,6.6,38.5
"SOAD04409","Navaldia","Yes","Recreation","Earth","2017S","Uncontrolled","Low","Fair",10.891,0,6106,1967,0.17139,2.66329,2017-07-17,5,38.21,2016-10-03,0.0583,21.4,6.8,8.1
"SOAD04600","Lyndrassia","No","Recreation","Earth","2007O","Uncontrolled","Low","Not Rated",9.11,0.17,0,1977,0.03349,58.59238,2005-05-10,0,0,2014-06-18,0.0879,37.7,779.2,3.7
"SOAD04681","Flumevale","Yes","Water Supply","Earth","1975S;1984S;1995","Uncontrolled","Low","Satisfactory",6.386,0.04,50,1981,0.04137,0,2022-09-29,6,1.58,2013-09-26,0.0481,38.6,312.1,10.3
"SOAD04682","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","2012","Uncontrolled","Low","Not Rated",8.749,0.133,0,1935,0.0394,2.66329,2019-11-19,0,20.84,2017-09-01,0.12,17.5,117.7,35.9
"SOAD06088","Lyndrassia","No","Debris Control","Earth","1960","Uncontrolled","Low","Not Rated",8.55,0.083,0,1967,0.03349,221.05307,1980-11-25,0,1.69,2014-06-18,0.0854,15.9,439.9,4.3
"SOAD06387","Navaldia","Yes","Flood Risk Reduction","Earth","2011H","Uncontrolled","Significant","Satisfactory",11.561,0.127,32853,1879,2.79543,2.66329,2019-06-28,2,0,2021-07-23,0.1255,434.9,395.4,33.5
"SOAD06392","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","1995S;1999S","Uncontrolled","Low","Not Rated",7.925,0.125,0,1940,0.17139,636.52631,1980-07-17,0,37.12,2014-06-18,0.1269,17.6,71.8,4.1
"SOAD06599","Lyndrassia","No","Irrigation","Earth","1975O","Uncontrolled","Low","Not Rated",8.57,0,0,1963,0.03349,490.04536,1980-06-05,0,0,2014-06-18,0.1305,28.8,672.2,19.7
"SOAD06675","Lyndrassia","No","Recreation","Earth","2007O","Uncontrolled","Low","Not Rated",9.011,0.033,0,1963,0.03349,601.90354,1980-08-28,0,7.77,2014-06-18,0.0915,9.5,96.8,8.8
"SOAD06855","Lyndrassia","No","Recreation","Earth","2004O","Uncontrolled","Low","Not Rated",8.992,0.192,0,1977,0.03349,743.05791,1987-03-05,0,0,2014-06-18,0.0916,24,189.6,8.6
"SOAD06925","Lyndrassia","No","Fire Protection, Stock, Or Small Fish Pond","Earth","1999","Uncontrolled","Low","Not Rated",10.522,0.138,12666,1994,0.00788,4551.56261,1994-09-30,0,40.58,2014-06-18,0.1056,24.5,11.5,5.9
"SOAD07040","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","2005","Uncontrolled","Low","Not Rated",7.202,0.027,0,1955,0.05713,0,1993-12-15,0,77.57,2014-06-18,0.0943,21.3,63.6,3.1
"SOAD07100","Lyndrassia","No","Other","Earth","1982","Uncontrolled","Low","Not Rated",8.372,0.2,0,1970,0.03152,474.06562,1987-06-01,0,0,2014-06-18,0.1183,28.2,821.7,3.4
"SOAD07307","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","2012","Uncontrolled","Low","Not Rated",10.615,0.057,0,1960,0.03349,165.12398,1980-06-19,0,3.36,2014-06-18,0.066,12,837.3,7.1
"SOAD07370","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","2001","Uncontrolled","Low","Not Rated",6.43,0.125,0,1957,0.08077,1145.2147,1990-08-15,0,39.66,2014-06-18,0.0743,23.4,191.9,14.6
"SOAD07804","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","2001","Uncontrolled","Low","Not Rated",5.016,0.042,0,1965,0.08865,1555.36136,1978-09-07,0,30.04,2014-06-18,0.1268,6.9,94,5
"SOAD07914","Navaldia","Yes","Recreation","Earth","2003S;2007S","Uncontrolled","Low","Not Rated",4.582,0.07,5000,1842,0.0591,109.19489,2019-08-01,5,46.31,2017-09-01,0.0594,22.9,14.8,6.6
"SOAD07935","Lyndrassia","No","Recreation","Earth","2004O","Uncontrolled","Low","Not Rated",9.054,0.042,0,1971,0.03349,303.61506,1980-05-13,0,0,2014-06-18,0.1014,6.6,253.5,8.8
"SOAD07940","Flumevale","Yes","Flood Risk Reduction","Earth","2008","Uncontrolled","Low","Not Rated",14.198,0.069,10320,1956,0.02561,0,2013-11-05,3,6.26,2022-10-06,0.0878,36.5,202.7,62.8
